iter	Passed	Remaining
0	2	212
1	4	198
2	5	186
3	7	171
4	9	172
5	10	168
6	12	166
7	14	163
8	16	162
9	18	162
10	19	159
11	21	158
12	23	156
13	25	153
14	26	150
15	28	147
16	30	149
17	32	149
18	34	147
19	36	145
20	38	143
21	39	141
22	41	139
23	43	137
24	45	135
25	47	134
26	48	131
27	50	130
28	52	127
29	53	125
30	55	123
31	57	122
32	59	120
33	61	119
34	63	117
35	65	115
36	66	113
37	68	112
38	70	110
39	72	108
40	74	106
41	75	104
42	77	103
43	79	101
44	81	99
45	83	97
46	85	96
47	86	94
48	88	92
49	90	90
50	92	89
51	94	87
52	96	85
53	98	83
54	99	81
55	100	79
56	102	77
57	105	76
58	106	74
59	108	72
60	110	70
61	112	68
62	114	67
63	115	65
64	118	63
65	120	61
66	122	60
67	124	58
68	126	56
69	127	54
70	129	52
71	131	51
72	133	49
73	135	47
74	136	45
75	139	43
76	140	42
77	142	40
78	144	38
79	146	36
80	147	34
81	149	32
82	151	31
83	153	29
84	154	27
85	156	25
86	158	23
87	159	21
88	161	19
89	163	18
90	164	16
91	166	14
92	168	12
93	169	10
94	171	9
95	173	7
96	175	5
97	177	3
98	178	1
99	180	0
